Customer ID,Transaction ID,Date,Product ID,Item Cost
1209690251,T23562,2015/09/13,P32565,19.99
1209690251,T37282,2014/03/25,P02291,6.99
1209690251,T33180,2016/07/11,P76615,1.99
1209690251,T30768,2018/05/17,P61235,15.99
1209690251,T04856,2015/09/17,P82222,7.99
1209690251,T19033,2018/01/21,P33162,1.99
1209690251,T13239,2013/03/09,P02291,19.99
1209690251,T09302,2015/04/14,P33162,15.99
1209690251,T44154,2015/06/19,P39328,9.99
1209690251,T13823,2016/11/01,P02291,16.99
2053561346,T06294,2017/07/12,P92449,20.99
2053561346,T35716,2016/08/22,P58225,1.99
2053561346,T13077,2014/01/12,P76615,16.99
2053561346,T23025,2016/07/22,P61235,16.99
2053561346,T49690,2016/11/18,P33162,9.99
2671106101,T11771,2015/11/18,P32565,14.99
2671106101,T34801,2014/05/27,P58225,1.99
2671106101,T06679,2014/11/16,P32565,6.99
2671106101,T11001,2015/07/16,P19498,1.99
2671106101,T24614,2014/10/13,P19498,10.99
2671106101,T02818,2014/11/00,P92449,10.99
2671106101,T42174,2017/06/26,P58225,2.99
2671106101,T21070,2017/03/21,P32565,13.99
2671106101,T42729,2017/08/21,P58225,16.99
2671106101,T00842,2015/08/03,P32565,1.99
2671106101,T44628,2016/05/14,P82222,12.99
2671106101,T23391,2016/00/16,P76615,1.99
2671106101,T24416,2015/04/02,P19498,4.99
2671106101,T48268,2016/05/15,P39328,4.99
2671106101,T37667,2015/05/25,P32565,8.99
2671106101,T12306,2017/06/04,P58225,12.99
2671106101,T46647,2015/03/07,P58225,19.99
2671106101,T00552,2017/00/13,P61235,14.99
2671106101,T11229,2013/04/26,P58225,9.99
2671106101,T17653,2016/09/16,P19498,10.99
2671106101,T16903,2017/07/14,P58225,20.99
2671106101,T36919,2014/11/13,P58225,8.99
2671106101,T34752,2018/06/12,P92449,3.99
2671106101,T29446,2014/07/14,P61235,3.99
2671106101,T33225,2016/11/22,P92449,10.99
2760114372,T31117,2014/11/18,P82222,1.99
2760114372,T21388,2015/08/01,P58225,20.99
2760114372,T17081,2013/03/26,P61235,0.99
2760114372,T12417,2016/04/08,P58225,19.99
2760114372,T39833,2018/05/27,P32565,12.99
2760114372,T21948,2018/01/22,P58225,9.99
2760114372,T40821,2018/08/23,P76615,10.99
2760114372,T43346,2017/08/02,P92449,19.99
2760114372,T39957,2014/00/12,P32565,8.99
2760114372,T49900,2017/04/19,P82222,17.99
2760114372,T24800,2016/04/17,P02291,13.99
2760114372,T21856,2013/00/27,P58225,8.99
2760114372,T39809,2015/01/09,P58225,13.99
2760114372,T08269,2015/01/24,P82222,13.99
2760114372,T40273,2014/03/10,P19498,9.99
2760114372,T45043,2017/04/04,P76615,5.99
2760114372,T03737,2017/06/09,P39328,2.99
2760114372,T13201,2017/04/04,P58225,9.99
2760114372,T20303,2016/02/08,P82222,1.99
2760114372,T21098,2013/11/25,P76615,20.99
2760114372,T26217,2015/03/25,P33162,2.99
2760114372,T42539,2015/08/11,P33162,7.99
2760114372,T28876,2017/04/06,P19498,2.99
2760114372,T37925,2016/01/12,P02291,13.99
2760114372,T06720,2014/05/10,P02291,11.99
3251575310,T33556,2013/00/01,P02291,18.99
3251575310,T15284,2014/08/16,P61235,19.99
3251575310,T16715,2018/08/25,P33162,5.99
3251575310,T07706,2015/02/02,P33162,9.99
3251575310,T11503,2016/07/26,P32565,19.99
3251575310,T19909,2015/07/21,P61235,4.99
3251575310,T10893,2016/06/22,P32565,15.99
3251575310,T43948,2016/03/12,P32565,15.99
3251575310,T30982,2018/07/15,P76615,0.99
3251575310,T00217,2017/10/10,P39328,18.99
3251575310,T37679,2015/10/05,P19498,15.99
3251575310,T04736,2014/03/26,P61235,2.99
3251575310,T22422,2015/00/02,P39328,18.99
3251575310,T29128,2017/10/08,P33162,9.99
3251575310,T00846,2017/02/06,P02291,7.99
3251575310,T10278,2017/08/06,P76615,0.99
3251575310,T23258,2014/10/24,P76615,9.99
3251575310,T16220,2014/09/09,P19498,7.99
3251575310,T49301,2016/05/18,P33162,7.99
3251575310,T43925,2015/09/15,P19498,2.99
3251575310,T21572,2015/06/00,P61235,3.99
3251575310,T47675,2013/01/20,P61235,17.99
3251575310,T18055,2017/07/17,P58225,9.99
3251575310,T07061,2016/10/18,P76615,17.99
3251575310,T18298,2014/10/07,P02291,6.99
3251575310,T31042,2015/06/05,P82222,10.99
3251575310,T48942,2014/01/12,P61235,4.99
3251575310,T03672,2015/08/17,P82222,9.99
3251575310,T43790,2016/01/10,P61235,1.99
3251575310,T43703,2014/11/15,P32565,14.99
3251575310,T23041,2013/05/20,P39328,5.99
3251575310,T02476,2013/03/09,P58225,1.99
3251575310,T44263,2018/07/24,P02291,14.99
3251575310,T37167,2013/00/01,P33162,20.99
3251575310,T25051,2014/00/10,P76615,7.99
3251575310,T17599,2016/03/20,P58225,18.99
3251575310,T30623,2015/01/22,P19498,2.99
3251575310,T00794,2015/04/22,P39328,4.99
3251575310,T13258,2015/07/24,P58225,3.99
3251575310,T47253,2018/01/23,P61235,16.99
3251575310,T42165,2015/03/19,P92449,1.99
3251575310,T14060,2017/09/14,P92449,15.99
3251575310,T12584,2016/09/19,P61235,3.99
3251575310,T39442,2016/02/16,P92449,17.99
3251575310,T38686,2013/05/20,P92449,7.99
3251575310,T17795,2013/00/10,P76615,14.99
3251575310,T03476,2017/03/02,P19498,10.99
3251575310,T06396,2018/10/17,P02291,7.99
3251575310,T00826,2017/05/03,P39328,13.99
3251575310,T02249,2016/10/20,P32565,14.99
3251575310,T09850,2018/04/06,P92449,3.99
3251575310,T26602,2016/08/20,P33162,2.99
3251575310,T03938,2016/04/00,P19498,12.99
3251575310,T30134,2015/07/13,P92449,17.99
3251575310,T13064,2018/11/20,P76615,11.99
3251575310,T30267,2017/10/12,P76615,18.99
3251575310,T17088,2013/06/13,P76615,2.99
3251575310,T29890,2014/09/24,P61235,20.99
3251575310,T39979,2018/05/18,P33162,7.99
3251575310,T42719,2015/08/09,P76615,20.99
3663438817,T40090,2016/07/17,P76615,11.99
3663438817,T40198,2013/11/22,P32565,2.99
3663438817,T17167,2016/01/09,P19498,1.99
3663438817,T28800,2017/00/14,P19498,14.99
3663438817,T07246,2016/04/13,P32565,5.99
3663438817,T47475,2018/03/22,P33162,17.99
3663438817,T13743,2014/01/23,P19498,13.99
3663438817,T10099,2015/10/11,P82222,4.99
3663438817,T42872,2017/09/11,P58225,15.99
3663438817,T33471,2014/00/21,P02291,19.99
3663438817,T14135,2017/09/23,P39328,10.99
3663438817,T34809,2013/11/07,P76615,7.99
3663438817,T42054,2014/04/14,P02291,17.99
3663438817,T18928,2016/04/01,P76615,10.99
3663438817,T01927,2015/08/23,P82222,4.99
3663438817,T31424,2017/11/02,P39328,8.99
3663438817,T07885,2015/07/11,P39328,10.99
3663438817,T46023,2015/02/17,P19498,5.99
3663438817,T36527,2017/06/23,P82222,1.99
3663438817,T45102,2014/06/03,P58225,14.99
3663438817,T32491,2017/02/03,P39328,4.99
3663438817,T20940,2014/06/11,P33162,19.99
3663438817,T38506,2014/04/01,P33162,5.99
3663438817,T25727,2017/05/19,P33162,0.99
3663438817,T46793,2017/11/04,P02291,0.99
3663438817,T37447,2018/10/16,P58225,0.99
3663438817,T30046,2013/10/09,P58225,16.99
3663438817,T19156,2015/08/18,P32565,0.99
3663438817,T33933,2017/02/08,P33162,8.99
3663438817,T34676,2016/09/22,P82222,20.99
3663438817,T26385,2017/07/15,P76615,17.99
3663438817,T34111,2016/09/17,P33162,5.99
3663438817,T22048,2014/09/16,P39328,7.99
3663438817,T29636,2014/01/24,P02291,17.99
3663438817,T40740,2017/10/26,P82222,3.99
3663438817,T13667,2017/02/15,P82222,5.99
3663438817,T14113,2018/02/24,P33162,12.99
3663438817,T46714,2018/07/17,P76615,15.99
3663438817,T41005,2018/02/00,P02291,3.99
3663438817,T17505,2018/10/15,P19498,13.99
4165102963,T49546,2017/01/09,P61235,11.99
